Time, Lead, amilGFP, Total
29.700077, 1998, 1903, 1999
29.800077, 1998, 1911, 1999
29.900078, 1999, 1913, 1999
30.000078, 1999, 1917, 1999
30.100079, 1999, 1920, 1999
30.200079, 1999, 1924, 1999
30.300079, 1999, 1929, 1999
30.400080, 1999, 1935, 1999
30.500080, 1999, 1938, 1999
30.600080, 1999, 1940, 1999
30.700081, 1999, 1942, 1999
30.800081, 1999, 1944, 1999
30.900082, 1999, 1945, 1999
31.000082, 1999, 1948, 1999
31.100082, 1999, 1951, 1999
31.200083, 1999, 1954, 1999
31.300083, 1999, 1958, 1999
31.400084, 1999, 1962, 1999
31.500084, 1999, 1967, 1999
31.600084, 1999, 1970, 1999
31.700085, 1999, 1971, 1999
31.800085, 1999, 1972, 1999
31.900085, 1999, 1973, 1999
32.000084, 1999, 1975, 1999
32.100082, 1999, 1977, 1999
32.200081, 1999, 1977, 1999
32.300079, 1999, 1980, 1999
32.400078, 1999, 1981, 1999
32.500076, 1999, 1983, 1999
32.600075, 1999, 1984, 1999
32.700073, 1999, 1984, 1999
32.800072, 1999, 1985, 1999
32.900070, 1999, 1988, 1999
33.000069, 1999, 1988, 1999
33.100067, 1999, 1988, 1999
33.200066, 1999, 1988, 1999
33.300064, 1999, 1988, 1999
33.400063, 1999, 1989, 1999
33.500061, 1999, 1992, 1999
33.600060, 1999, 1992, 1999
33.700058, 1999, 1994, 1999
33.800056, 1999, 1994, 1999
33.900055, 1999, 1995, 1999
34.000053, 1999, 1995, 1999
34.100052, 1999, 1995, 1999
34.200050, 1999, 1996, 1999
34.300049, 1999, 1996, 1999
34.400047, 1999, 1996, 1999
34.500046, 1999, 1997, 1999
34.600044, 1999, 1997, 1999
34.700043, 1999, 1997, 1999
34.800041, 1999, 1997, 1999
34.900040, 1999, 1997, 1999
35.000038, 1999, 1997, 1999
35.100037, 1999, 1997, 1999
35.200035, 1999, 1997, 1999
35.300034, 1999, 1997, 1999
35.400032, 1999, 1997, 1999
35.500031, 1999, 1997, 1999
35.600029, 1999, 1998, 1999
35.700027, 1999, 1998, 1999
35.800026, 1999, 1998, 1999
35.900024, 1999, 1998, 1999
36.000023, 1999, 1998, 1999
36.100021, 1999, 1998, 1999
36.200020, 1999, 1998, 1999
36.300018, 1999, 1998, 1999
36.400017, 1999, 1998, 1999
36.500015, 1999, 1998, 1999
36.600014, 1999, 1998, 1999
36.700012, 1999, 1998, 1999
36.800011, 1999, 1998, 1999
36.900009, 1999, 1998, 1999
37.000008, 1999, 1998, 1999
37.100006, 1999, 1998, 1999
37.200005, 1999, 1998, 1999
37.300003, 1999, 1998, 1999
37.400002, 1999, 1998, 1999
37.500000, 1999, 1998, 1999
37.599998, 1999, 1998, 1999
37.699997, 1999, 1998, 1999
37.799995, 1999, 1998, 1999
37.899994, 1999, 1998, 1999
37.999992, 1999, 1998, 1999
38.099991, 1999, 1998, 1999
38.199989, 1999, 1998, 1999
38.299988, 1999, 1998, 1999
38.399986, 1999, 1998, 1999
38.499985, 1999, 1998, 1999
38.599983, 1999, 1998, 1999
38.699982, 1999, 1998, 1999
38.799980, 1999, 1998, 1999
38.899979, 1999, 1998, 1999
38.999977, 1999, 1998, 1999
39.099976, 1999, 1998, 1999
39.199974, 1999, 1998, 1999
39.299973, 1999, 1998, 1999
